h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.80000e+00,5.01750e-01,9.99881e-01,9.73545e-06,1.09678e-04
1.80000e+00,5.01925e-01,9.99891e-01,8.56513e-06,1.00384e-04
1.80000e+00,5.02100e-01,9.99895e-01,7.83026e-06,9.67437e-05
1.80000e+00,5.02275e-01,9.99894e-01,7.56789e-06,9.80734e-05
1.80000e+00,5.02450e-01,9.99883e-01,8.07079e-06,1.08852e-04
1.80000e+00,5.02625e-01,9.99834e-01,1.08787e-05,1.55348e-04
1.80000e+00,5.02800e-01,9.99325e-01,3.69766e-05,6.37920e-04
1.80000e+00,5.02975e-01,9.98818e-01,4.17072e-05,1.14059e-03
1.80000e+00,5.03150e-01,9.99852e-01,4.04094e-06,1.43584e-04
1.80000e+00,5.03325e-01,9.99915e-01,2.46650e-06,8.26765e-05
1.80000e+00,5.03500e-01,9.99932e-01,2.13675e-06,6.53787e-05
1.80000e+00,5.03675e-01,9.99941e-01,1.99084e-06,5.72326e-05
1.80000e+00,5.03850e-01,9.99946e-01,1.88430e-06,5.23397e-05
1.80000e+00,5.04025e-01,9.99949e-01,1.78654e-06,4.91107e-05
1.80000e+00,5.04200e-01,9.99951e-01,1.69070e-06,4.70406e-05
1.80000e+00,5.04375e-01,9.99952e-01,1.59688e-06,4.59898e-05
1.80000e+00,5.04550e-01,9.99953e-01,1.50820e-06,4.59747e-05
1.80000e+00,5.04725e-01,9.99951e-01,1.43032e-06,4.71115e-05
1.80000e+00,5.04900e-01,9.99949e-01,1.37346e-06,4.96616e-05
1.80000e+00,5.05075e-01,9.99944e-01,1.35965e-06,5.43004e-05
1.80000e+00,5.05250e-01,9.99935e-01,1.44708e-06,6.31539e-05
1.80000e+00,5.05425e-01,9.99914e-01,1.80248e-06,8.40957e-05
1.80000e+00,5.05600e-01,9.99868e-01,2.50938e-06,1.29947e-04
1.80000e+00,5.05775e-01,9.99857e-01,2.16653e-06,1.40384e-04
1.80000e+00,5.05950e-01,9.99877e-01,1.49113e-06,1.21498e-04
1.80000e+00,5.06125e-01,9.99885e-01,1.17472e-06,1.13344e-04
1.80000e+00,5.06300e-01,9.99887e-01,1.02420e-06,1.11500e-04
1.80000e+00,5.06475e-01,9.99887e-01,9.42182e-07,1.11815e-04
1.80000e+00,5.06650e-01,9.99887e-01,8.92069e-07,1.12432e-04
1.80000e+00,5.06825e-01,9.99887e-01,8.58138e-07,1.12520e-04
1.80000e+00,5.07000e-01,9.99887e-01,8.32770e-07,1.11731e-04
1.80000e+00,5.07175e-01,9.99889e-01,8.12169e-07,1.09988e-04
1.80000e+00,5.07350e-01,9.99892e-01,7.94675e-07,1.07365e-04
1.80000e+00,5.07525e-01,9.99895e-01,7.79976e-07,1.04019e-04
1.80000e+00,5.07700e-01,9.99899e-01,7.68716e-07,1.00148e-04
1.80000e+00,5.07875e-01,9.99903e-01,7.62309e-07,9.59746e-05
1.80000e+00,5.08050e-01,9.99908e-01,7.63255e-07,9.17198e-05
1.80000e+00,5.08225e-01,9.99912e-01,7.75346e-07,8.76671e-05
1.80000e+00,5.08400e-01,9.99915e-01,8.05031e-07,8.41600e-05
1.80000e+00,5.08575e-01,9.99917e-01,8.63893e-07,8.17231e-05
1.80000e+00,5.08750e-01,9.99918e-01,9.75016e-07,8.13142e-05
1.80000e+00,5.08925e-01,9.99914e-01,1.19157e-06,8.51078e-05
1.80000e+00,5.09100e-01,9.99899e-01,1.66628e-06,9.95994e-05
1.80000e+00,5.09275e-01,9.99843e-01,3.04134e-06,1.54042e-04
1.80000e+00,5.09450e-01,9.99412e-01,1.18408e-05,5.76230e-04
1.80000e+00,5.09625e-01,9.93521e-01,1.01382e-04,6.37787e-03
1.80000e+00,5.09800e-01,9.99662e-01,3.43465e-06,3.34814e-04
1.80000e+00,5.09975e-01,9.99814e-01,1.56095e-06,1.84040e-04
1.80000e+00,5.10150e-01,9.99825e-01,1.70454e-06,1.73563e-04
1.80000e+00,5.10325e-01,9.99773e-01,2.94041e-06,2.24309e-04
1.80000e+00,5.10500e-01,9.99546e-01,7.98145e-06,4.46130e-04
1.80000e+00,5.10675e-01,9.96108e-01,8.69238e-05,3.80553e-03
1.80000e+00,5.10850e-01,9.98069e-01,4.45842e-05,1.88608e-03
1.80000e+00,5.11025e-01,9.99666e-01,6.05974e-06,3.28237e-04
1.80000e+00,5.11200e-01,9.99807e-01,2.41601e-06,1.90956e-04
1.80000e+00,5.11375e-01,9.99841e-01,1.44208e-06,1.57760e-04
1.80000e+00,5.11550e-01,9.99852e-01,1.11431e-06,1.46573e-04
1.80000e+00,5.11725e-01,9.99858e-01,1.05227e-06,1.41258e-04
1.80000e+00,5.11900e-01,9.99862e-01,1.17523e-06,1.37199e-04
1.80000e+00,5.12075e-01,9.99865e-01,1.52581e-06,1.33285e-04
1.80000e+00,5.12250e-01,9.99867e-01,2.30895e-06,1.30339e-04
1.80000e+00,5.12425e-01,9.99864e-01,4.22411e-06,1.32239e-04
1.80000e+00,5.12600e-01,9.99833e-01,1.05148e-05,1.56224e-04
1.80000e+00,5.12775e-01,9.99557e-01,5.73252e-05,3.85416e-04
1.80000e+00,5.12950e-01,9.92881e-01,4.76806e-04,6.64226e-03
1.80000e+00,5.13125e-01,9.99358e-01,2.56810e-05,6.15891e-04
1.80000e+00,5.13300e-01,9.99763e-01,8.57137e-06,2.28624e-04
1.80000e+00,5.13475e-01,9.99847e-01,4.38773e-06,1.48229e-04
1.80000e+00,5.13650e-01,9.99884e-01,2.74246e-06,1.13726e-04
1.80000e+00,5.13825e-01,9.99905e-01,1.92055e-06,9.28825e-05
1.80000e+00,5.14000e-01,9.99921e-01,1.44712e-06,7.77605e-05
