h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.79500e+00,5.12775e-01,9.53877e-01,1.06710e-06,4.61218e-02
1.79500e+00,5.12950e-01,9.52979e-01,1.23523e-06,4.70198e-02
1.79500e+00,5.13125e-01,9.52466e-01,1.73723e-06,4.75321e-02
1.79500e+00,5.13300e-01,9.51561e-01,3.93596e-06,4.84346e-02
1.79500e+00,5.13475e-01,9.46221e-01,1.93462e-05,5.37592e-02
1.79500e+00,5.13650e-01,9.54397e-01,1.46794e-04,4.54560e-02
1.79500e+00,5.13825e-01,9.77067e-01,2.90377e-05,2.29044e-02
1.79500e+00,5.14000e-01,9.76618e-01,1.15824e-05,2.33702e-02
1.80000e+00,5.00000e-01,9.33818e-01,2.80674e-06,6.61790e-02
1.80000e+00,5.00175e-01,9.33640e-01,2.66631e-06,6.63574e-02
1.80000e+00,5.00350e-01,9.33715e-01,2.52391e-06,6.62827e-02
1.80000e+00,5.00525e-01,9.34027e-01,2.38416e-06,6.59701e-02
1.80000e+00,5.00700e-01,9.34563e-01,2.25125e-06,6.54351e-02
1.80000e+00,5.00875e-01,9.35304e-01,2.12897e-06,6.46937e-02
1.80000e+00,5.01050e-01,9.36234e-01,2.02062e-06,6.37640e-02
1.80000e+00,5.01225e-01,9.37328e-01,1.92909e-06,6.26700e-02
1.80000e+00,5.01400e-01,9.38553e-01,1.85693e-06,6.14451e-02
1.80000e+00,5.01575e-01,9.39858e-01,1.80694e-06,6.01406e-02
1.80000e+00,5.01750e-01,9.41160e-01,1.78191e-06,5.88386e-02
1.80000e+00,5.01925e-01,9.42314e-01,1.78284e-06,5.76837e-02
1.80000e+00,5.02100e-01,9.43014e-01,1.79287e-06,5.69847e-02
1.80000e+00,5.02275e-01,9.42453e-01,1.65760e-06,5.75451e-02
1.80000e+00,5.02450e-01,9.41299e-01,8.86844e-07,5.87003e-02
1.80000e+00,5.02625e-01,9.44559e-01,1.01848e-06,5.54402e-02
1.80000e+00,5.02800e-01,9.45898e-01,1.56448e-06,5.41008e-02
1.80000e+00,5.02975e-01,9.45835e-01,2.03649e-06,5.41626e-02
1.80000e+00,5.03150e-01,9.45156e-01,2.51923e-06,5.48419e-02
1.80000e+00,5.03325e-01,9.44150e-01,3.06088e-06,5.58468e-02
1.80000e+00,5.03500e-01,9.42991e-01,3.68637e-06,5.70051e-02
1.80000e+00,5.03675e-01,9.41798e-01,4.41688e-06,5.81975e-02
1.80000e+00,5.03850e-01,9.40648e-01,5.28185e-06,5.93472e-02
1.80000e+00,5.04025e-01,9.39577e-01,6.33145e-06,6.04168e-02
1.80000e+00,5.04200e-01,9.38588e-01,7.65640e-06,6.14040e-02
1.80000e+00,5.04375e-01,9.37651e-01,9.42864e-06,6.23395e-02
1.80000e+00,5.04550e-01,9.36693e-01,1.19994e-05,6.32952e-02
1.80000e+00,5.04725e-01,9.35566e-01,1.61769e-05,6.44181e-02
1.80000e+00,5.04900e-01,9.33925e-01,2.42043e-05,6.60512e-02
1.80000e+00,5.05075e-01,9.30688e-01,4.46305e-05,6.92671e-02
1.80000e+00,5.05250e-01,9.19712e-01,1.40697e-04,8.01472e-02
1.80000e+00,5.05425e-01,6.40594e-01,6.69628e-03,3.52710e-01
1.80000e+00,5.05600e-01,9.49924e-01,8.41085e-05,4.99923e-02
1.80000e+00,5.05775e-01,9.46587e-01,1.64159e-05,5.33962e-02
1.80000e+00,5.05950e-01,9.45161e-01,5.66279e-06,5.48335e-02
1.80000e+00,5.06125e-01,9.44603e-01,2.56384e-06,5.53948e-02
1.80000e+00,5.06300e-01,9.44498e-01,1.41411e-06,5.55007e-02
1.80000e+00,5.06475e-01,9.44688e-01,9.21185e-07,5.53107e-02
1.80000e+00,5.06650e-01,9.45112e-01,6.85824e-07,5.48871e-02
1.80000e+00,5.06825e-01,9.45753e-01,5.64808e-07,5.42462e-02
1.80000e+00,5.07000e-01,9.46622e-01,5.11338e-07,5.33773e-02
1.80000e+00,5.07175e-01,9.47748e-01,5.35966e-07,5.22516e-02
1.80000e+00,5.07350e-01,9.49168e-01,7.29769e-07,5.08317e-02
1.80000e+00,5.07525e-01,9.50906e-01,1.42576e-06,4.90922e-02
1.80000e+00,5.07700e-01,9.52913e-01,4.18843e-06,4.70828e-02
1.80000e+00,5.07875e-01,9.54629e-01,2.53076e-05,4.53460e-02
1.80000e+00,5.08050e-01,9.44708e-01,1.04820e-03,5.42435e-02
1.80000e+00,5.08225e-01,9.60971e-01,2.13838e-05,3.90073e-02
1.80000e+00,5.08400e-01,9.62757e-01,7.30020e-06,3.72361e-02
1.80000e+00,5.08575e-01,9.63685e-01,4.27366e-06,3.63112e-02
1.80000e+00,5.08750e-01,9.63697e-01,3.55017e-06,3.62991e-02
1.80000e+00,5.08925e-01,9.62692e-01,4.23377e-06,3.73035e-02
1.80000e+00,5.09100e-01,9.59853e-01,7.80825e-06,4.01389e-02
1.80000e+00,5.09275e-01,9.49235e-01,2.63937e-05,5.07390e-02
1.80000e+00,5.09450e-01,9.21318e-01,9.49644e-05,7.85872e-02
1.80000e+00,5.09625e-01,9.56172e-01,2.36203e-05,4.38048e-02
1.80000e+00,5.09800e-01,9.61619e-01,8.70254e-06,3.83721e-02
1.80000e+00,5.09975e-01,9.62662e-01,4.66888e-06,3.73329e-02
1.80000e+00,5.10150e-01,9.62924e-01,3.00228e-06,3.70732e-02
1.80000e+00,5.10325e-01,9.62984e-01,2.13057e-06,3.70138e-02
1.80000e+00,5.10500e-01,9.62979e-01,1.60406e-06,3.70197e-02
1.80000e+00,5.10675e-01,9.62940e-01,1.25506e-06,3.70591e-02
1.80000e+00,5.10850e-01,9.62867e-01,1.00918e-06,3.71318e-02
1.80000e+00,5.11025e-01,9.62749e-01,8.29056e-07,3.72500e-02
1.80000e+00,5.11200e-01,9.62568e-01,6.94054e-07,3.74315e-02
1.80000e+00,5.11375e-01,9.62302e-01,5.91843e-07,3.76976e-02
1.80000e+00,5.11550e-01,9.61928e-01,5.14486e-07,3.80715e-02
1.80000e+00,5.11725e-01,9.61424e-01,4.56446e-07,3.85758e-02
1.80000e+00,5.11900e-01,9.60770e-01,4.13450e-07,3.92292e-02
1.80000e+00,5.12075e-01,9.59962e-01,3.81743e-07,4.00375e-02
1.80000e+00,5.12250e-01,9.59020e-01,3.57535e-07,4.09793e-02
1.80000e+00,5.12425e-01,9.58017e-01,3.36589e-07,4.19826e-02
1.80000e+00,5.12600e-01,9.57103e-01,3.14154e-07,4.28963e-02
