h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorvance
1.80000e+00,5.03325e-01,9.99848e-01,4.21715e-06,1.48252e-04
1.80000e+00,5.03500e-01,9.99910e-01,2.70694e-06,8.76859e-05
1.80000e+00,5.03675e-01,9.99928e-01,2.34934e-06,6.98483e-05
1.80000e+00,5.03850e-01,9.99936e-01,2.18003e-06,6.14793e-05
1.80000e+00,5.04025e-01,9.99942e-01,2.05917e-06,5.64304e-05
1.80000e+00,5.04200e-01,9.99945e-01,1.95558e-06,5.29571e-05
1.80000e+00,5.04375e-01,9.99948e-01,1.86051e-06,5.04703e-05
1.80000e+00,5.04550e-01,9.99949e-01,1.77150e-06,4.87890e-05
1.80000e+00,5.04725e-01,9.99950e-01,1.68897e-06,4.79232e-05
1.80000e+00,5.04900e-01,9.99950e-01,1.61648e-06,4.80212e-05
1.80000e+00,5.05075e-01,9.99949e-01,1.56379e-06,4.94310e-05
1.80000e+00,5.05250e-01,9.99945e-01,1.55634e-06,5.30110e-05
1.80000e+00,5.05425e-01,9.99937e-01,1.66665e-06,6.13415e-05
1.80000e+00,5.05600e-01,9.99915e-01,2.09737e-06,8.28119e-05
1.80000e+00,5.05775e-01,9.99873e-01,2.86255e-06,1.24586e-04
1.80000e+00,5.05950e-01,9.99867e-01,2.51499e-06,1.30179e-04
1.80000e+00,5.06125e-01,9.99884e-01,1.82839e-06,1.14608e-04
1.80000e+00,5.06300e-01,9.99890e-01,1.46046e-06,1.08213e-04
1.80000e+00,5.06475e-01,9.99891e-01,1.26491e-06,1.07697e-04
1.80000e+00,5.06650e-01,9.99889e-01,1.15011e-06,1.09558e-04
1.80000e+00,5.06825e-01,9.99887e-01,1.07815e-06,1.12031e-04
1.80000e+00,5.07000e-01,9.99885e-01,1.03163e-06,1.14173e-04
1.80000e+00,5.07175e-01,9.99884e-01,1.00111e-06,1.15449e-04
1.80000e+00,5.07350e-01,9.99883e-01,9.80617e-07,1.15575e-04
1.80000e+00,5.07525e-01,9.99885e-01,9.66024e-07,1.14452e-04
1.80000e+00,5.07700e-01,9.99887e-01,9.54604e-07,1.12146e-04
1.80000e+00,5.07875e-01,9.99890e-01,9.45096e-07,1.08862e-04
1.80000e+00,5.08050e-01,9.99894e-01,9.37944e-07,1.04926e-04
1.80000e+00,5.08225e-01,9.99898e-01,9.35537e-07,1.00746e-04
1.80000e+00,5.08400e-01,9.99902e-01,9.42517e-07,9.67888e-05
1.80000e+00,5.08575e-01,9.99905e-01,9.66570e-07,9.35999e-05
1.80000e+00,5.08750e-01,9.99907e-01,1.02079e-06,9.19194e-05
1.80000e+00,5.08925e-01,9.99906e-01,1.13047e-06,9.30473e-05
1.80000e+00,5.09100e-01,9.99899e-01,1.35450e-06,9.99925e-05
1.80000e+00,5.09275e-01,9.99876e-01,1.87025e-06,1.22148e-04
1.80000e+00,5.09450e-01,9.99791e-01,3.49804e-06,2.05463e-04
1.80000e+00,5.09625e-01,9.98950e-01,1.75252e-05,1.03241e-03
1.80000e+00,5.09800e-01,9.97676e-01,3.07111e-05,2.29352e-03
1.80000e+00,5.09975e-01,9.99730e-01,2.54982e-06,2.67667e-04
1.80000e+00,5.10150e-01,9.99836e-01,1.41307e-06,1.62971e-04
1.80000e+00,5.10325e-01,9.99834e-01,1.69460e-06,1.64364e-04
1.80000e+00,5.10500e-01,9.99764e-01,3.17325e-06,2.33159e-04
